mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,Cminor_count,C#/Dbminor_count,Dminor_count,D#_Ebminor_count,D#_EbMajor_count,Gminor_count,BMajor_count
ISFP,SP,ISFP (PDB),5bQ62NFhoBa2qMsC2BVrZW,50,0.55566,0.162921492,0.64646,0.183044793,-6.53872,2.153375367,0.48,0.50467205,0.065382,0.070489995,0.2319897,0.261849704,0.183562,0.120211546,0.404994,0.191453744,116.7387,26.47282139,0.002642199,0.010889609,6,3,2,5,0,4,3,4,2,2,0,2,2,3,1,0,3,1,1,1,3,1,1,0
ISFP,SP,ISFP,5atFvTEr8TmlroGm7B1Ruh,50,0.60648,0.144131493,0.69136,0.168910526,-6.82356,3.064087374,0.58,0.498569382,0.082408,0.077464519,0.172070808,0.228257086,0.212844,0.16483175,0.419082,0.233917322,123.6589,28.32038487,0.115423925,0.249045658,3,6,2,3,0,2,1,1,1,2,2,3,3,5,1,6,2,2,1,0,0,0,4,0
ISFP,SP,ISFP Mood,4QcaVYy1RXPkGBw8soOwT8,50,0.5596,0.136657474,0.62828,0.198817221,-6.92734,2.908984524,0.64,0.484873221,0.055382,0.048865015,0.24533108,0.290789437,0.171438,0.112274454,0.429946,0.238886066,119.05686,30.79372968,0.023855404,0.083982356,11,2,1,2,4,2,1,2,4,0,2,2,2,2,1,2,3,1,1,2,0,2,0,1
ISFP,SP,Isfp,0pooegqha9n90gKK6DJtyk,43,0.575930233,0.117755476,0.481767442,0.198316706,-8.635883721,4.158287601,0.651162791,0.482242822,0.062813953,0.078799165,0.516559767,0.327730525,0.161260465,0.097121936,0.427346512,0.194048119,109.480814,27.95950758,0.032605101,0.126993752,2,5,1,3,2,1,1,2,1,4,0,3,1,2,0,3,2,2,2,1,0,2,1,2
ISFP,SP,ISFP energy,2MOlGF3WKjSjks4OchPRo3,50,0.59044,0.126875346,0.66976,0.204448443,-6.8183,2.923212527,0.52,0.50467205,0.055124,0.036811498,0.18192532,0.270465396,0.181246,0.133679175,0.460772,0.265160485,122.7835,24.05948568,0.040822298,0.11695797,7,2,1,4,3,1,2,4,0,2,0,2,3,1,1,5,5,4,1,0,0,1,1,0
ISFP,SP,ISFP's melodies,71akfdIi3JwwsyUcxEbJzc,20,0.66325,0.124696632,0.5266,0.16651518,-7.8314,2.371700709,0.7,0.470162346,0.0971,0.124802598,0.332105,0.258848416,0.173615,0.090849791,0.6149,0.171103508,112.3866,25.2037459,0.000219861,0.000941831,4,1,0,1,0,0,2,1,2,3,0,0,1,2,0,0,0,1,0,1,0,0,1,0
ISFP,SP,isfp vibes,07JYkeZ8Je8h53JS3X2Y6H,37,0.527621622,0.136108893,0.556378378,0.165992863,-7.518324324,1.988264431,0.648648649,0.483977514,0.041554054,0.025913302,0.268166132,0.25614367,0.195008108,0.138872134,0.335102703,0.176161551,119.6221081,28.9978758,0.110298085,0.267072948,3,2,0,1,4,0,4,0,2,0,1,3,4,0,0,4,1,3,1,2,0,1,0,1
ISFP,SP,isfp,4uQHuCDiNkkYsFh2j63A2c,45,0.587933333,0.123569892,0.580106667,0.212873401,-8.0612,3.854860183,0.666666667,0.476731295,0.067168889,0.074545949,0.345811556,0.270572335,0.16722,0.102171043,0.505657778,0.241800927,123.0755333,35.01276076,0.066922335,0.201648758,3,3,3,0,3,2,3,3,6,3,0,2,1,0,2,1,1,5,0,0,0,1,1,2
ISFP,SP,ISFP,1zmvDavCBu64basIqDM5Oa,50,0.54714,0.143191467,0.482124,0.19439533,-7.92572,3.412017705,0.66,0.478518121,0.046448,0.038887825,0.4738154,0.320341236,0.164196,0.141770167,0.349784,0.195239855,119.99596,31.18954715,0.039268854,0.149598128,6,4,3,3,2,1,4,3,1,1,1,3,3,3,0,3,1,1,3,0,0,1,1,2
ISFP,SP,Isfp 😅🌻,4acVnYJ2bqKBAGBsM9tAV3,50,0.5916,0.162439188,0.6168,0.197997732,-7.05576,3.067420172,0.46,0.503457434,0.069194,0.05931426,0.2460463,0.289146628,0.167426,0.115475137,0.44054,0.213184716,118.57998,25.86723225,0.018678555,0.094624813,5,2,4,3,0,3,3,4,1,0,0,4,2,2,4,0,0,6,0,4,0,0,1,2
