mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,Dminor_count,D#_EbMajor_count,Gminor_count,D#_Ebminor_count
ENTJ,NT,"📜🪄📖 MBTI ""entj-t""🦉🧙💴",3TAHHo4vkP8qk6etIYlAwz,50,0.70892,0.154504453,0.67778,0.161147326,-6.0459,2.36439476,0.52,0.50467205,0.110912,0.084942652,0.15196928,0.169925797,0.193814,0.138147407,0.48895,0.235168421,131.8524,24.95647083,0.027295964,0.128279383,0,3,4,4,2,3,1,4,0,1,0,3,1,3,5,4,2,1,2,5,2,0,0,0
ENTJ,NT,ENTJ ,2cwl23k2iehngXpvSelHyq,20,0.6664,0.12132271,0.74495,0.161005876,-6.1354,2.717137976,0.55,0.510417786,0.124195,0.092296003,0.0817295,0.151137603,0.183205,0.091568844,0.54575,0.19916031,134.6307,18.89416464,0.002811114,0.010452948,1,4,1,0,1,0,0,1,0,0,0,2,0,1,2,0,1,2,2,0,0,1,1,0
ENTJ,NT,Mix Playlist,4LGSLEOq5zx7meJPvT4omh,50,0.72462,0.118871374,0.6744,0.141019321,-6.14784,1.822926637,0.52,0.50467205,0.157236,0.124624192,0.1858824,0.184719642,0.154078,0.091246225,0.56594,0.210985096,119.69242,27.31370096,0.00122345,0.004778569,1,1,3,6,3,3,0,2,3,1,2,0,1,2,1,3,2,1,6,4,2,1,2,0
ENTJ,NT,ENTJ,33mwHj1UDsG8hRU3hYX5d1,10,0.666,0.106345349,0.715,0.140934973,-6.2055,1.891930305,0.2,0.421637021,0.10696,0.095339897,0.28237,0.17068858,0.12206,0.07888356,0.639,0.208214633,106.0656,14.98775915,0.007524995,0.021905913,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0
ENTJ,NT,ENTJ,5ihjtNn6vtrRjfw8W7leTB,50,0.6906,0.124099532,0.80188,0.116810791,-4.44458,1.762753865,0.52,0.50467205,0.158764,0.101169649,0.12434778,0.1386953,0.236166,0.159268676,0.56524,0.187841831,125.29544,32.62479516,0.000605839,0.004113461,1,4,2,4,5,4,1,0,0,3,1,3,2,2,4,1,5,0,0,5,1,0,0,2
ENTJ,NT,ENTJ vibes ,5Ip1sopkJlELsYKiJcW1Ek,48,0.676229167,0.147700133,0.691020833,0.166934882,-5.561083333,2.06849137,0.5,0.505291153,0.111252083,0.100568395,0.107237042,0.137434429,0.1959625,0.164324634,0.55275,0.207530311,126.735375,28.13264455,0.02439167,0.125212063,2,4,2,3,4,4,1,3,2,2,1,3,0,1,3,2,4,0,3,2,0,1,0,1
ENTJ,NT,my anthem,44eJEk9KPCWUqk9JCXS2L9,50,0.62616,0.166352019,0.5967,0.148339001,-8.10924,2.639664872,0.42,0.498569382,0.105596,0.090474971,0.2421154,0.247795032,0.181666,0.127252511,0.50268,0.200713975,118.64464,31.8205562,0.116807345,0.285785703,3,3,2,1,0,2,1,2,3,4,1,4,3,4,4,0,0,1,1,3,3,0,4,1
ENTJ,NT,entjeptea,2lZQyZjFvC853ZuhFV0uTm,50,0.55282,0.128542964,0.6207,0.187050277,-7.85784,2.679763562,0.88,0.328260723,0.037844,0.019969867,0.24630038,0.275079736,0.150724,0.084242114,0.49468,0.23719246,126.0978,26.21444115,0.028355407,0.095199981,0,5,0,2,11,3,5,1,3,0,3,6,0,2,1,6,1,0,0,1,0,0,0,0
ENTJ,NT,ENTJ,7DeUPGd05i8YgWuvrJxsmR,33,0.631666667,0.152936806,0.657787879,0.168264999,-6.573727273,2.715496171,0.575757576,0.501890366,0.085175758,0.088747074,0.125923739,0.157403301,0.166139394,0.11369699,0.456687879,0.225603723,116.265303,24.48496048,0.045587895,0.166051105,0,3,1,2,5,2,0,1,4,0,1,1,2,2,3,0,1,0,2,1,0,0,2,0
ENTJ,NT,my anthem,44eJEk9KPCWUqk9JCXS2L9,50,0.62616,0.166352019,0.5967,0.148339001,-8.10924,2.639664872,0.42,0.498569382,0.105596,0.090474971,0.2421154,0.247795032,0.181666,0.127252511,0.50268,0.200713975,118.64464,31.8205562,0.116807345,0.285785703,3,3,2,1,0,2,1,2,3,4,1,4,3,4,4,0,0,1,1,3,3,0,4,1
ENTJ,NT,ENTJ,0VRtKlHsns8LtIGQ7s6Vhe,23,0.689478261,0.111655668,0.638304348,0.167177487,-6.467173913,2.965089676,0.652173913,0.486984754,0.092630435,0.071212144,0.206132609,0.209381002,0.203726087,0.140807584,0.577478261,0.186601391,116.4748261,24.86397287,0.019095904,0.050902944,1,4,1,1,1,1,1,1,1,0,1,2,0,1,1,0,1,1,0,0,1,2,1,0
