mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,Bminor_count,BMajor_count,Dminor_count,EMajor_count,A#/BbMajor_count,D#_Ebminor_count
ESFP,SP,I AM ESFP 100% 🥳🌅🌞🌞 DXDXDR UBRINW9NW9VR8BD8NXXDDUWUWU😆,2hQguJc7YXW53NHsCzb8tF,13,0.731416667,0.07188053,0.83475,0.09866023,-4.278416667,1.375165078,0.333333333,0.492365964,0.077125,0.037550357,0.071735,0.117706345,0.151641667,0.115809761,0.658166667,0.142334966,119.4965833,8.614161421,0.033925889,0.088727591,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,5,0,0,0,0,0
ESFP,SP,ESFP & LIBRA,69aELJ1GOh16usYe3ogZHr,50,0.63716,0.16515217,0.69906,0.162888144,-6.34158,2.974380643,0.56,0.501426536,0.072556,0.066815021,0.24824082,0.258110989,0.180396,0.147300023,0.57416,0.228352606,126.11362,33.18224624,0.063541551,0.178147936,3,4,1,1,4,1,2,3,2,1,0,2,7,1,3,3,2,1,2,0,2,0,4,1
ESFP,SP,an oddly specific esfp 7w6 mix,1OVRnMcCzjqwzLgYjNyvS6,50,0.66332,0.123871797,0.733,0.168348278,-5.12242,2.563468991,0.72,0.453557368,0.089654,0.065333291,0.18045141,0.205994673,0.185156,0.125298706,0.59188,0.206110495,125.44842,27.43808302,0.068317512,0.232658356,0,3,3,2,4,4,2,3,1,2,3,0,4,0,6,1,2,3,0,1,0,4,2,0
ESFP,SP,esfp,6rbdWmHFSD3LUULbSTvJrz,50,0.69282,0.127015296,0.53394,0.176803755,-9.09018,3.492208959,0.6,0.494871659,0.097574,0.094703134,0.5507408,0.278542345,0.15495,0.101363982,0.5,0.194126721,128.4462,35.0186281,0.016431056,0.066993013,3,6,2,2,4,3,2,1,4,1,0,3,2,2,5,4,2,0,1,0,1,2,0,0
ESFP,SP,esfp (ca's version),3HsWZlvrs5uvjlmWPhSIV7,46,0.556152174,0.117091221,0.697326087,0.098196867,-5.861282609,0.946831785,0.5,0.50552503,0.073078261,0.048674994,0.107495283,0.141652185,0.144315217,0.068814394,0.346221739,0.159241184,124.4896304,22.79029324,0.027723739,0.110021285,2,3,2,2,2,1,2,4,1,1,2,0,1,2,2,2,1,4,2,3,1,3,2,1
ESFP,SP,esfp-ing my way out.,3E6gnS6Xg41x7aoyl7DEpd,50,0.7311,0.116152301,0.702282,0.16970231,-5.57094,2.579977024,0.56,0.501426536,0.093116,0.079616239,0.14392596,0.196347882,0.161196,0.151242828,0.58134,0.226368456,118.54434,24.28968422,0.023599088,0.131989943,1,5,4,6,5,0,2,3,1,2,2,2,3,4,1,1,3,2,0,1,1,1,0,0
ESFP,SP,esfp queer libra,4o4KCFqvTRu0aU7roXDALU,50,0.51874,0.152150008,0.6626,0.188713907,-6.8042,3.186289372,0.5,0.505076272,0.065628,0.058680547,0.21123366,0.295865117,0.192656,0.175034481,0.396108,0.198783851,119.62674,26.97033083,0.013935684,0.053947225,2,4,4,4,3,0,2,0,1,4,1,0,2,2,4,3,1,1,6,1,0,2,2,1
ESFP,SP,ESFP,11KuM5yHsziNVx5kP6dFGS,39,0.556641026,0.136807873,0.658210256,0.203550325,-8.292230769,5.203719962,0.641025641,0.485970515,0.057587179,0.052436132,0.234611454,0.288745835,0.167887179,0.110915822,0.463538462,0.212849693,121.0765641,32.09420811,0.206410112,0.296531837,1,3,0,3,2,0,1,1,3,1,2,1,2,2,4,3,3,3,1,1,0,1,1,0
ESFP,SP,Una playlist de ESFP 💛,2XtBL4xdD57caDECtS6lOG,50,0.71998,0.102794721,0.73236,0.130990537,-5.31382,1.885208998,0.52,0.50467205,0.099766,0.082109903,0.132933268,0.1372821,0.166026,0.109367075,0.60854,0.200190951,127.56298,33.13851763,0.008657589,0.048233681,2,4,3,5,5,0,1,6,0,1,2,3,2,1,2,1,1,3,2,4,0,0,1,1
ESFP,SP,ESFP,12KhZkaBqWan69BSMPrGJC,12,0.662,0.144331059,0.668666667,0.199535977,-6.283833333,2.654822262,0.5,0.522232968,0.0954,0.097315074,0.2769775,0.245838605,0.237466667,0.241910668,0.611333333,0.173771184,117.1854167,24.20636771,0.003340268,0.006777529,0,2,2,2,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
