mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,C#/DbMajor_count,F#/Gbminor_count,BMajor_count,D#_Ebminor_count,Dminor_count
INTJ,NT,Intj,6IR3DMEfYjmGGYCoVzwxVh,23,0.427782609,0.149308392,0.467113043,0.219824803,-10.18230435,4.586491286,0.347826087,0.486984754,0.049334783,0.035924537,0.336161009,0.341677666,0.173756522,0.16484282,0.206630435,0.155784299,119.4203913,29.97637965,0.23204287,0.33965667,2,1,2,1,0,3,0,0,0,1,0,1,1,1,1,2,1,1,2,0,1,0,0,2
INTJ,NT,pov: you're intj,3NVzx5zeZsPa8W7ucdPifC,44,0.542295455,0.135719886,0.697477273,0.183599221,-6.647568182,3.211910106,0.613636364,0.492544843,0.046227273,0.021751785,0.203607589,0.278354257,0.183625,0.119058977,0.478747727,0.228167473,121.7386364,29.62347186,0.12437301,0.255427646,1,2,0,3,0,3,2,1,3,3,0,3,0,1,4,3,1,1,2,5,2,1,0,3
INTJ,NT,INTJ,1H8OM16G9qyDkxHaCQFauI,19,0.584736842,0.138625331,0.608684211,0.201462446,-7.359842105,3.043217399,0.526315789,0.512989176,0.051973684,0.022703447,0.305142105,0.287478838,0.144026316,0.093918906,0.405263158,0.238394128,134.093,26.42909461,0.078665023,0.232453359,1,0,1,1,0,2,0,2,2,3,1,0,0,2,0,1,2,0,0,1,0,0,0,0
INTJ,NT,INTJ,2jBwqtXBL7tVWeMK9W6hx8,20,0.5588,0.149921242,0.6861,0.136174385,-7.7639,2.671653222,0.6,0.50262469,0.06116,0.062551178,0.1624967,0.25143315,0.186375,0.109004586,0.44007,0.239635014,116.64145,33.94682882,0.282640075,0.359269854,0,0,0,1,1,1,0,2,1,1,0,3,1,3,2,0,1,1,0,1,1,0,0,0
INTJ,NT,intj ,0Nc1zGutVYn9HOKLlwPsjO,39,0.614589744,0.127690563,0.692128205,0.148490506,-6.562333333,2.664988233,0.487179487,0.506369684,0.067674359,0.070088229,0.215019128,0.244878523,0.156274359,0.134144866,0.507187179,0.225504424,127.5467949,30.42122061,0.099762302,0.224722078,2,3,2,0,0,1,1,4,1,2,1,2,1,2,3,2,2,2,2,2,1,2,1,0
INTJ,NT,intj,428V560q09o4dcXWUAVf5u,28,0.57425,0.128858126,0.624178571,0.179814936,-7.806321429,2.722194323,0.5,0.509175077,0.089260714,0.094015875,0.234615571,0.2479865,0.215203571,0.133649058,0.335225,0.224960447,124.9582143,28.69847263,0.185348278,0.312052354,0,1,1,1,1,5,0,1,1,2,3,1,0,1,1,1,2,3,1,1,0,1,0,0
INTJ,NT,pov: you're an infj-intj cusp,2RO7aYO0i9sYoIrjHcbEdq,50,0.58056,0.131719888,0.59294,0.168423956,-7.27258,2.812708173,0.74,0.443087498,0.050312,0.044589276,0.28696342,0.28866335,0.1953,0.15416506,0.420864,0.209689888,115.35218,23.03980644,0.07395214,0.212265166,0,6,1,4,1,3,3,0,2,2,0,3,1,1,1,8,0,2,5,3,2,2,0,0
INTJ,NT,INTJ-A,7yriqLDFPiQCY1Xhae0npE,46,0.543152174,0.143844046,0.515019565,0.163881935,-7.423891304,3.126759723,0.52173913,0.505046992,0.06741087,0.048636978,0.512002174,0.29137484,0.199895652,0.187968792,0.401234783,0.197988782,114.6936957,30.56075205,0.018349378,0.102730861,4,5,0,2,0,4,2,1,3,0,0,5,1,2,2,2,2,0,4,3,1,0,1,2
INTJ,NT,😈 intj 😈,0glHemrtnl3t02LaZAXR4K,50,0.60358,0.119906782,0.63836,0.151536587,-6.02682,1.733773585,0.42,0.498569382,0.090346,0.097261256,0.18352556,0.219357114,0.164322,0.106571898,0.321542,0.162220164,124.58108,28.58107456,0.051705666,0.186147429,2,2,2,5,0,1,1,4,1,2,3,0,3,7,2,1,2,1,5,1,1,0,1,3
INTJ,NT,INTJ: The Architect,2hHAtBeyPYqCQsvUGW1aHa,19,0.537473684,0.164865052,0.661573684,0.22985565,-6.894842105,4.02472869,0.631578947,0.495594628,0.062910526,0.068121875,0.1952602,0.260562657,0.161089474,0.09301636,0.4022,0.273957282,121.4922632,31.5739456,0.073399491,0.144696327,3,3,0,0,0,1,2,0,2,0,1,2,0,1,0,1,0,0,1,1,1,0,0,0
INTJ,NT,ɪɴᴛᴊ-ᴛ <3,4BGKCCWuBEFYwJbd4ye8Bt,41,0.577097561,0.135845833,0.713804878,0.155988496,-6.824926829,2.526087364,0.487804878,0.506060827,0.06774878,0.061187119,0.16970339,0.214314719,0.18727561,0.12018676,0.450146341,0.225786908,128.2959512,28.05481688,0.293620343,0.357725539,3,0,2,3,0,1,1,2,4,2,2,2,3,3,1,2,5,2,1,1,0,0,0,1
INTJ,NT,INTJ,3iG2FlfSdhnThPwyK4o3aG,35,0.573371429,0.126565511,0.691657143,0.202032167,-6.244142857,2.972422147,0.571428571,0.502096445,0.072157143,0.065207539,0.171727514,0.237859606,0.232637143,0.179536172,0.575248571,0.244706687,125.9832571,25.52799905,0.062049704,0.206529031,1,1,2,2,1,2,4,1,1,2,1,3,1,1,1,3,2,0,2,1,0,1,1,1
INTJ,NT,intj women are so lonely,5rGAFDeUtIww1KQ6VnE5RT,50,0.55388,0.153503392,0.58014,0.205574358,-7.93734,3.66961894,0.54,0.503457434,0.044652,0.029127287,0.293787068,0.286408593,0.163968,0.117082091,0.448056,0.218130529,117.48942,28.21071097,0.076116479,0.162009926,1,4,4,2,0,4,3,1,4,2,3,1,2,2,2,3,1,2,1,4,3,0,1,0
INTJ,NT,INTJ,60wz8lZu1vVdKwM3CU8yO5,23,0.535521739,0.18447958,0.535652174,0.182082551,-7.185173913,2.717568777,0.434782609,0.506869802,0.058295652,0.026351617,0.320369326,0.261504165,0.142413043,0.072000273,0.365104348,0.222248731,126.2905652,35.30393862,0.014745427,0.048952722,2,1,2,2,0,3,1,0,2,0,0,0,0,0,1,2,1,0,2,2,0,0,0,2
INTJ,NT,Intj // melancholy,77YvP3IBsbeURdtdjzwR8Z,50,0.60674,0.131912743,0.54848,0.188203021,-8.46536,4.062983888,0.46,0.503457434,0.085968,0.107971792,0.32472558,0.297878432,0.179982,0.138748964,0.344696,0.228019163,121.99014,30.12550797,0.064655023,0.199352225,3,2,4,4,0,4,1,3,1,2,1,3,3,1,3,4,1,2,1,1,3,2,0,1
INTJ,NT,INTJ,2ZTa4qZuNmn86uwdue5iTa,40,0.5577,0.141012493,0.6918,0.186907107,-5.9104,2.364665909,0.4,0.496138938,0.08138,0.057483367,0.137688625,0.180480033,0.175965,0.116697513,0.3721,0.201014107,124.260625,31.92754226,0.011960088,0.047118038,1,2,1,3,0,6,0,3,0,0,1,1,1,4,0,3,2,0,1,2,2,1,1,5
INTJ,NT,INTJ,25oGswNDCvm5JV4pkRYMCj,50,0.59596,0.15062888,0.6124,0.155973572,-6.79736,2.045880089,0.38,0.490314351,0.069514,0.067944323,0.20807688,0.219198605,0.13728,0.077902194,0.412538,0.241601253,116.38532,29.07546914,0.052217767,0.127123918,5,4,1,2,0,1,1,3,0,4,3,3,2,2,4,1,3,1,5,0,0,1,0,4
INTJ,NT,Intj,42BWQIZ7nFp3220R8gwHLm,41,0.581585366,0.148969792,0.604758537,0.196024477,-7.590731707,3.863980577,0.585365854,0.498778997,0.081187805,0.080307024,0.299249659,0.310381655,0.21655122,0.142324583,0.381870732,0.214673112,111.8332195,30.03808069,0.094469891,0.242066949,0,6,2,4,1,7,2,1,1,3,0,0,1,2,1,0,1,1,3,4,0,0,1,0
