mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,Fminor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,EMajor_count,FMajor_count
ESTJ,SJ,estj.mp3,33ywea7hGjPkhOrFFwnKLc,50,0.67946,0.131349698,0.69894,0.133351371,-5.7194,1.449963757,0.54,0.503457434,0.103704,0.071938222,0.13746094,0.163131998,0.168244,0.104026318,0.478422,0.204431392,128.01692,25.65872083,0.013817289,0.062947155,2,4,1,4,2,2,1,0,5,0,2,2,1,5,1,3,2,1,3,0,3,5,1,0
ESTJ,SJ,estj,3iVLCXwVRJNl2gSZwVJjDM,34,0.785235294,0.097928254,0.644382353,0.144874662,-5.779441176,1.795035143,0.529411765,0.506640397,0.137861765,0.093230591,0.174252647,0.154345983,0.189423529,0.120747294,0.558382353,0.193579052,123.7393235,20.6109153,0.000324804,0.001201066,0,2,3,4,0,2,1,1,1,1,1,0,0,2,2,4,0,3,2,0,5,0,0,0
ESTJ,SJ,enneagram 8; estj,4qUdpBYgC1DzCuLLKXNSj0,50,0.6186,0.132615141,0.73652,0.173970117,-5.9449,2.227450196,0.64,0.484873221,0.06821,0.043925025,0.14499562,0.224695833,0.176246,0.149702689,0.555262,0.210841133,120.85322,28.35696604,0.006591116,0.029405859,0,3,2,2,0,4,0,0,0,3,3,3,1,3,0,3,3,4,0,1,6,2,6,1
ESTJ,SJ,Swing Estj,5PGJG9dyFtcO2a4pTFYmMQ,25,0.66376,0.147685556,0.62092,0.170918821,-8.47232,3.141170784,0.52,0.509901951,0.076908,0.049850727,0.3440908,0.304239004,0.194732,0.107396286,0.66604,0.214886691,124.71716,30.89114979,0.152515665,0.312640856,0,0,0,5,1,1,1,1,3,1,1,1,1,0,1,2,0,0,0,1,3,0,0,2
ESTJ,SJ,ESTJ-T,1F5u9n2PQEE4nUSwgoSl8X,50,0.68052,0.127751551,0.54944,0.144325335,-8.06218,2.848849776,0.48,0.50467205,0.089116,0.088514921,0.3909418,0.26505343,0.157078,0.105433082,0.59676,0.200504726,107.44846,29.40347346,0.051979822,0.142041407,1,5,1,3,3,4,0,2,4,7,3,0,0,3,0,1,1,0,2,0,4,1,3,2
ESTJ,SJ,"estj, entj, intj, istj, istp",6Q4l73KN7JDLOebGK4jkBl,33,0.629,0.151752471,0.678272727,0.156150623,-6.378,3.06762407,0.606060606,0.496197663,0.08510303,0.079852972,0.144079364,0.177678334,0.218081818,0.159427708,0.529666667,0.23501086,126.5639697,27.51059058,0.098734635,0.231491649,1,4,0,2,0,2,0,1,1,1,2,1,1,1,1,1,5,3,1,0,0,0,2,3
ESTJ,SJ,Estj,3HoamV9gHgCghYgL3QhO4p,50,0.6736,0.116191784,0.7121,0.159186869,-5.41368,1.909049635,0.34,0.478518121,0.100092,0.089451396,0.13504396,0.168442255,0.177084,0.118185393,0.55816,0.204889952,117.46414,24.82313696,0.00592882,0.028041381,1,3,2,3,1,1,1,0,3,2,0,0,3,2,1,4,5,2,8,0,6,1,0,1
ESTJ,SJ,a playlist for the ESTJ sagittarius sun girlies,0U9s95W4aCA8OHimoTwsJi,50,0.73026,0.122697872,0.81232,0.098089181,-3.41036,1.610072577,0.62,0.490314351,0.130254,0.082456223,0.1092444,0.105217939,0.192232,0.161978165,0.62688,0.149358716,123.198,29.91066028,0.00109606,0.005664644,0,5,1,4,2,5,1,0,5,1,2,0,0,7,1,3,0,5,3,0,3,2,0,0
ESTJ,SJ,estj,273K9wl6bzYn5cu4h76hGF,50,0.691934,0.16997053,0.686592,0.215143836,-6.53902,3.795701718,0.68,0.471212071,0.162992,0.135466131,0.254088949,0.301049473,0.242278,0.184124569,0.621688,0.215924235,119.1535,27.21537972,0.028276956,0.121100034,2,9,1,4,1,2,0,1,2,3,1,0,1,5,1,4,0,2,2,2,2,3,1,1
ESTJ,SJ,estj songs,5Ki2WPmj97Rw1uQqrOGcmJ,50,0.64968,0.115088154,0.69526,0.206512026,-6.02598,3.269173212,0.54,0.503457434,0.090172,0.065519681,0.13468592,0.19165682,0.208486,0.192472997,0.554772,0.221924531,121.63084,26.65572814,0.011978753,0.032934096,1,4,2,5,1,4,1,1,1,1,1,1,1,3,3,2,4,5,5,0,2,2,0,0
