mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,BMajor_count,Fminor_count,F#/GbMajor_count,A#/Bbminor_count,Bminor_count
ENFJ,NF,:star_struck: ENFJs slaying,2QIUWU1kQFQYeeuJADRdAJ,16,0.6444375,0.114098769,0.74275,0.094638611,-5.2180625,1.422180414,0.3125,0.478713554,0.083625,0.053312544,0.093028312,0.138760343,0.17643125,0.115843893,0.615875,0.132249197,131.453625,31.85743201,2.48E-06,8.33E-06,1,1,1,0,1,2,0,0,0,0,0,2,1,0,0,0,1,0,1,1,1,0,2,1
ENFJ,NF,ENFJ ,45k7CYEvsPqoZtdplDGcKX,41,0.595121951,0.186661886,0.736658537,0.173107858,-6.315536585,2.689132435,0.634146341,0.487652415,0.072370732,0.041659634,0.114167746,0.172916729,0.204609756,0.152568681,0.560419512,0.251513053,122.4813902,30.76130704,0.017921915,0.060128837,3,4,0,2,1,1,0,1,5,5,2,1,0,2,0,1,1,4,1,3,2,0,2,0
ENFJ,NF,🍰🥜,0En46abhKXUw4pde8EyWxW,50,0.6256,0.136651351,0.59158,0.221678301,-6.6473,3.334713329,0.74,0.443087498,0.05465,0.036600955,0.3415586,0.316909005,0.157018,0.101070581,0.53162,0.197627447,121.2102,32.07040008,0.016943364,0.065035343,2,5,1,6,1,5,0,0,1,5,2,1,1,5,0,3,1,3,0,1,2,2,3,0
ENFJ,NF,enfj kpop,6va4U6yKITIaNsOmPgG8PE,39,0.658179487,0.084673326,0.800307692,0.111964551,-3.770846154,1.555179623,0.743589744,0.44235903,0.075169231,0.051097987,0.151332308,0.13495564,0.209530769,0.13919561,0.636076923,0.170016158,125.8239487,26.16193829,4.84E-05,0.000301003,1,3,2,4,0,3,0,0,0,0,1,0,0,3,0,4,4,5,1,3,1,2,0,2
ENFJ,NF,enfj,22l9z4dDfyvqGS8dpJ1Q9a,50,0.60188,0.119521775,0.53948,0.191298169,-8.08308,2.536413802,0.78,0.418451958,0.07079,0.07255431,0.407813,0.319843346,0.13747,0.102926396,0.397858,0.191005268,121.06352,28.7040514,0.019742791,0.080942242,1,8,1,1,1,1,1,1,0,5,5,1,1,4,0,1,3,5,4,4,0,0,1,1
ENFJ,NF,ENTP & ENFJ,5RmBifFmgvl78oSOQe5VkN,50,0.64056,0.1678295,0.69954,0.213656238,-5.70964,2.107583458,0.62,0.490314351,0.101924,0.093762598,0.207543728,0.31092501,0.18605,0.126832755,0.479776,0.218876171,123.99,28.01388447,0.004918564,0.017977779,1,8,0,4,1,3,0,1,1,0,0,3,0,3,3,5,4,2,1,2,1,2,2,3
ENFJ,NF,enfj background music,1l1CCnsuPR1ucLX5dfvPM1,12,0.677666667,0.093610735,0.704166667,0.181396519,-5.521,1.657470252,0.583333333,0.514928651,0.060275,0.053097237,0.249938667,0.183875443,0.22065,0.128300666,0.6205,0.188867679,124.57975,24.50230487,0.000342219,0.000943429,0,2,0,0,0,0,0,0,0,0,0,0,2,3,1,1,2,1,0,0,0,0,0,0
ENFJ,NF,ENFJ's,4jK4flnNuFQBGCkPdnsMKh,8,0.586375,0.190377023,0.72675,0.138977645,-6.155,1.329100985,0.375,0.51754917,0.0745125,0.066580959,0.256839825,0.213941556,0.218175,0.194330211,0.599,0.142119668,121.1415,25.29994541,0.091107575,0.151004741,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,3
ENFJ,NF,ENFJ CORE!,2tRCF7MFd2MUY92xwwzLSW,50,0.56558,0.104971151,0.64726,0.196221325,-6.59998,2.779705127,0.78,0.418451958,0.065086,0.050284205,0.21889002,0.287109989,0.145742,0.089541868,0.439624,0.178474715,122.26318,29.93973465,0.00808756,0.033107249,2,4,1,2,1,6,0,0,0,3,4,1,0,6,0,4,2,2,2,2,1,4,1,2
ENFJ,NF,enfj 2w3 perfectionist with a savior complex,5OQpTAWePHFGsHR0Go5L8e,50,0.58308,0.109257576,0.60058,0.189375137,-7.02496,2.752494594,0.72,0.453557368,0.066718,0.082118942,0.32932392,0.328668895,0.140308,0.094788058,0.449806,0.208354055,124.39058,25.75282435,0.044199324,0.151440003,2,7,0,1,0,9,0,0,0,3,2,0,0,2,1,5,5,2,2,3,2,0,0,4
