mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,BMajor_count,Fminor_count,F#/GbMajor_count,A#/Bbminor_count,Bminor_count
ISTJ,SJ,istj,4EpxqOOsU8y8CxKzn9AGVW,50.0,0.45036,0.146157416,0.5079,0.252152549,-10.16168,3.841948488,0.66,0.478518121,0.047934,0.051204267,0.41763566,0.362769009,0.158594,0.126971048,0.37792,0.223132057,117.9634,33.08258982,0.143011237,0.251180921,0.0,5.0,5.0,4.0,0.0,5.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0
ISTJ,SJ,ISTJ playlist ᶠᵒʳ ʸᵒᵘ  ꨄ︎,5CqvuCVmeSDhHBQWceX7ty,50.0,0.56196,0.169695401,0.57313,0.250722445,-8.19666,4.035303138,0.62,0.490314351,0.065914,0.064139612,0.302781846,0.334778025,0.202914,0.156071556,0.427926,0.270402992,114.61918,29.41422517,0.142216002,0.290303522,1.0,4.0,2.0,3.0,2.0,4.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,4.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,0.0
ISTJ,SJ,"Virgo, ISTJ, and Dowon",6UKCZ2kH7sCFzg4u5135cv,50.0,0.62896,0.13236421,0.50304,0.181350822,-7.57832,2.859967036,0.7,0.46291005,0.085226,0.065671917,0.460976,0.276557098,0.18969,0.126910215,0.46658,0.201822016,108.32282,30.48896955,0.008630705,0.048522002,1.0,5.0,2.0,1.0,1.0,6.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,4.0,1.0,4.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0
ISTJ,SJ,ISTJ,0Re9fC5x4DJAZWTCvOM0nj,36.0,0.508611111,0.121067461,0.504416667,0.230824531,-9.086361111,3.984779149,0.583333333,0.5,0.064163889,0.064878137,0.420260444,0.340043065,0.146063889,0.083355857,0.296608333,0.177515585,118.0728333,31.12267716,0.157236366,0.28017536,2.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0
ISTJ,SJ,ISTJ's values,0e73cAuDPlQ3X8kP2W67TC,17.0,0.609117647,0.108355827,0.506235294,0.160765563,-9.040176471,2.591934274,0.705882353,0.469668218,0.083611765,0.058262712,0.398194118,0.276518924,0.173252941,0.115510671,0.444705882,0.168755654,117.3405294,39.12136529,0.022247657,0.087576294,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0
ISTJ,SJ,istj made by an istj,1YDlGxCwnHD18LIxUCdYRd,28.0,0.558535714,0.184890254,0.559214286,0.237637813,-9.526571429,4.45099653,0.678571429,0.475594866,0.061071429,0.03368567,0.240415714,0.279694792,0.166596429,0.136792066,0.392835714,0.225824836,129.0824643,35.80404497,0.154087535,0.260253215,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,4.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0
ISTJ,SJ,Istj,76I2yauVptFj4H3CqtLQGD,50.0,0.56966,0.121171932,0.595158,0.223531462,-8.01506,4.126836949,0.72,0.453557368,0.083228,0.089806584,0.284569,0.277437079,0.181464,0.137906086,0.48418,0.205168392,124.77134,31.35268864,0.036828798,0.146759879,0.0,5.0,1.0,4.0,2.0,2.0,0.0,2.0,2.0,1.0,6.0,0.0,0.0,9.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0
ISTJ,SJ,ISTJ,3RqSdOTz8Zz72dBEVT7JrO,50.0,0.61382,0.153967223,0.75714,0.13359427,-5.1324,2.023789081,0.54,0.503457434,0.130164,0.10305954,0.101722928,0.165850731,0.212236,0.131039501,0.48856,0.212300438,127.43038,33.55854342,0.007847718,0.030055762,2.0,1.0,4.0,7.0,1.0,7.0,1.0,2.0,5.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
ISTJ,SJ,ISTJ,3Nn0M9rF3X5umZzMojv9CL,27.0,0.703407407,0.137810701,0.597592593,0.12845929,-7.817814815,2.635724423,0.703703704,0.465321627,0.100340741,0.073560955,0.282252593,0.218479572,0.155622222,0.085561765,0.458981481,0.196031418,112.7796667,23.32055684,9.37e-05,0.000363114,1.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0
ISTJ,SJ,ISTJ ,3bHvNQPiyZ65kuvriBNGup,14.0,0.619285714,0.117521473,0.673857143,0.122273877,-5.106857143,1.926976861,0.428571429,0.513552591,0.0474,0.019558551,0.138662143,0.166360997,0.15,0.094769624,0.430785714,0.216878619,114.1225,22.94203627,0.024076153,0.056240899,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISTJ,SJ,God OFF / ISTJ,7tt2GX5h9ELKRIzPwZ61PP,50.0,0.60972,0.129441822,0.67384,0.172431869,-7.32446,2.839061631,0.68,0.471212071,0.069198,0.059404207,0.20677517,0.227662103,0.180894,0.138141537,0.47466,0.222270162,123.67158,30.74563283,0.072543926,0.169693265,1.0,3.0,2.0,8.0,0.0,5.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,0.0,2.0,3.0,1.0,3.0,2.0
ISTJ,SJ,ISTJ,0mcoLfM3gkDdwL7ngJUpr0,15.0,0.530466667,0.182903123,0.664533333,0.145083654,-6.4118,2.106510832,0.4,0.507092553,0.059913333,0.030405776,0.187035467,0.22516274,0.263033333,0.205304866,0.4154,0.192277255,126.9106667,35.66111478,0.024845047,0.063811513,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISTJ,SJ,ISTJ Type Beat,5l4jWrmH1z6rsmWlt4y0zw,16.0,0.5700625,0.09680597,0.6484375,0.25255784,-7.514625,4.005190364,0.875,0.341565026,0.03895625,0.014798467,0.265618125,0.355140901,0.1110875,0.036242569,0.454875,0.185423434,124.61225,21.34712467,0.092084806,0.198307875,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
ISTJ,SJ,istj,3yPDxzOKVmctwv3MaDMGjD,36.0,0.546083333,0.137908122,0.543277778,0.187746426,-8.464555556,3.182857346,0.527777778,0.506309398,0.04595,0.026834961,0.315447068,0.322500911,0.171061111,0.119602903,0.34175,0.206695371,121.2176111,23.16614563,0.0880553,0.228960829,1.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0
ISTJ,SJ,infp to istj era,5O9q8DyqFCN2RhyeWZ9ia2,36.0,0.582694444,0.12745236,0.724888889,0.15420372,-4.780388889,1.43648705,0.888888889,0.318727629,0.081697222,0.072504303,0.191311389,0.153901325,0.201263889,0.145668134,0.505416667,0.203417568,127.9546389,32.6904863,2.57e-05,0.000138075,1.0,4.0,0.0,4.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
ISTJ,SJ,ISTJ 💠,5q3ETOJMc2o1miVoTBYuva,50.0,0.52856,0.149482257,0.462454,0.223439522,-9.71876,4.988983253,0.78,0.418451958,0.04618,0.041072221,0.4714629,0.364058172,0.14586,0.08873788,0.37947,0.230488886,121.2509,31.70709799,0.158178388,0.280084718,1.0,4.0,1.0,2.0,0.0,4.0,0.0,2.0,2.0,1.0,5.0,2.0,2.0,5.0,0.0,1.0,1.0,6.0,5.0,0.0,1.0,4.0,1.0,0.0
ISTJ,SJ,ISTJ ,5lFP9BjbdbI84MYT8hewkD,50.0,0.59706,0.150256164,0.62472,0.171912298,-7.08072,2.478876927,0.62,0.490314351,0.06584,0.069612815,0.148965568,0.17870525,0.179828,0.125483572,0.420308,0.214618466,123.06666,29.58320018,0.134084362,0.253302983,0.0,6.0,0.0,4.0,0.0,3.0,0.0,0.0,5.0,4.0,4.0,4.0,1.0,1.0,0.0,2.0,6.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0
ISTJ,SJ,istj,6ZwvfVF1CHP0p4IBag8ONw,50.0,0.58146,0.10023039,0.63458,0.180551094,-5.42932,1.862971934,0.84,0.37032804,0.065254,0.064343178,0.3442226,0.259784725,0.15314,0.100778903,0.4308,0.17074662,123.80686,30.74872471,1.98e-06,9.16e-06,0.0,5.0,1.0,8.0,1.0,2.0,0.0,5.0,0.0,2.0,6.0,1.0,0.0,4.0,0.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
ISTJ,SJ,ISTJ INFP taste,7BwoRcBv8zNa7hs6tjwVZH,50.0,0.695,0.11343127,0.77886,0.10996122,-4.37506,1.628146504,0.64,0.484873221,0.084454,0.055730801,0.143711,0.161111526,0.169768,0.11695333,0.66768,0.151751871,123.75146,27.13513606,0.000219998,0.001012003,0.0,4.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,3.0,1.0,7.0,1.0,5.0,1.0,2.0,3.0,0.0,3.0,3.0
ISTJ,SJ,ISTJ,43Vqe1VmxbSpNzPChBHAgv,9.0,0.309111111,0.224829071,0.139312222,0.14044009,-23.35233333,7.84174354,0.222222222,0.440958552,0.036611111,0.014154014,0.747566667,0.348264612,0.110855556,0.04504881,0.088022222,0.081902057,97.016,41.13696754,0.825555556,0.233534853,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
ISTJ,SJ,istj,05oVkhEBT0V1hJCW8mF6D4,48.0,0.5535,0.129984287,0.586375,0.194744636,-7.494416667,3.406896846,0.458333333,0.503533613,0.052652083,0.048714968,0.239576979,0.266489509,0.19510625,0.126115373,0.4049375,0.22826772,115.2878125,26.67290573,0.043634666,0.153724686,2.0,4.0,1.0,5.0,2.0,2.0,0.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0
ISTJ,SJ,istj tings,0ac2o4WdUfMPA98nCMOQja,21.0,0.622428571,0.124480348,0.532204762,0.250468242,-9.307666667,4.480545607,0.714285714,0.46291005,0.076409524,0.079708035,0.428437781,0.350349308,0.176361905,0.116543157,0.52,0.20583027,114.1119048,22.43850651,0.086515297,0.230412464,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
ISTJ,SJ,ISTJ 🦋,2jTDHVMd8LGk6U5XGneOq9,15.0,0.525066667,0.120148995,0.566133333,0.115763223,-7.812266667,2.341653002,0.8,0.414039336,0.041953333,0.022341501,0.2474796,0.298765879,0.158906667,0.084667758,0.2882,0.153322815,139.8458,33.06673015,0.009144303,0.032656552,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
