#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,song_frequency
130,Sampai Jadi Debu (Menampilkan Gardika Gigih),Banda Neira,95,10B,11,2025-12-14,06:48,73,indonesian indie,"Yang Patah Tumbuh, Yang Hilang Berganti",2016-01-29,42,99,4,13,0,0,-18,D Major,4,4B3DEANIvod8552CbwftCG,QMPKX1635780,1
137,Mind Over Matter,Young the Giant,155,8B,76,2025-12-23,04:04,73,,Mind Over Matter,2014-01-17,47,0,0,29,0,10,-4,C Major,4,5Az8KU81g2aLBbJN67F2CI,USAT21304149,3
140,Home,Edith Whiskers,120,10B,20,2025-12-23,03:17,72,,Stop Stealing The Covers!,2020-11-13,72,98,0,28,0,10,-12,D Major,4,18V1UiYRvWYwn01CRDbbuR,GBVHN2000009,1
144,One Call Away,Charlie Puth,91,3B,61,2026-01-01,03:14,72,soft pop,Nine Track Mind,2016-01-29,67,40,0,47,0,10,-5,C♯/D♭ Major,4,37R0bQOQj5a7DOqh1TGzvB,USAT21502703,1
145,Daylight,Maroon 5,120,9B,67,2026-01-01,03:45,74,pop,Overexposed Track By Track,2012-01-01,66,0,0,37,0,20,-5,G Major,4,1NNAI51EuoRWw1ydX1zV7S,USUM71204771,1
157,You & I,One Direction,131,3B,33,2026-01-15,03:57,81,,Midnight Memories (Deluxe),2013-11-25,57,22,0,36,0,10,-7,C♯/D♭ Major,4,2afCBiru10AFckfOa49wIa,GBHMU1300213,1
159,Membasuh,"Hindia,Rara Sekar",187,8B,20,2026-01-16,06:13,77,"indonesian indie, indonesian pop",Menari Dengan Bayangan,2019-11-29,34,93,3,24,0,10,-12,C Major,4,3CBxVM0zGj41BQtE6m7gwb,FR59R1964010,1
161,Wish (feat. Trippie Redd) - Trippie Mix,"Diplo,Trippie Redd",94,11B,82,2026-01-17,02:56,80,"moombahton, melodic rap",LIFE'S A TRIP,2018-08-10,56,23,0,68,0,10,-8,A Major,4,0c0YHn3DIQLl1opsQDd9kO,QMEU31815210,1
163,Send My Love (To Your New Lover),Adele,164,11A,53,2026-02-25,03:43,80,soft pop,25,2015-11-20,69,4,0,57,0,10,-8,F#/G♭ Minor,4,563SfWAHJs4FBZMkRN0IFN,GBBKS1500215,1
1,Panic Attack,Halsey,123,7B,56,2025-03-14,03:36,48,,The Great Impersonator,2024-10-25,73,20,0,59,0,10,-6,F Major,4,5OKyVJq7nRnWfBbsiCiyfb,USSM12405391,1
2,INTP,Psyche in Stereo,95,2B,83,2025-03-14,02:40,4,,Stereo | Type,2023-05-17,71,8,0,67,20,10,-7,F#/G♭ Major,4,2EgRsiGYObrKAaJmdV2WuK,QZK6L2361194,1
4,Take Me Home,Jess Glynne,75,11B,45,2025-03-14,04:25,67,,I Cry When I Laugh,2015-00-00,58,29,0,24,0,10,-6,A Major,4,6oO10y1h2VyxJQfomG4CtH,GBAHS1500226,1
6,Midnight in Paris,Cian Ducrot,80,9B,40,2025-03-14,03:49,22,,started in college (mixtape),2020-07-10,59,59,0,63,10,10,-12,G Major,4,5LVb2I6FxEFfWEWAVBN99D,GBKPL1937402,1
7,"Thunderclouds (feat. Sia, Diplo, and Labrinth)","Sia,Diplo,Labrinth,LSD",112,9B,71,2025-03-14,03:07,70,"moombahton, dance pop","LABRINTH, SIA & DIPLO PRESENT... LSD",2019-04-12,69,1,0,49,0,10,-6,G Major,4,4lJNen4SMTIJMahALc3DcB,USQX91801532,1
8,Talk (feat. Disclosure),"Khalid,Disclosure",136,8B,40,2025-03-14,03:17,72,house,Free Spirit,2019-04-05,90,5,0,35,10,0,-9,C Major,4,6TqXcAFInzjp0bODyvrWEq,USRC11900004,1
9,Ego,Halsey,105,9B,96,2025-03-14,03:18,45,,The Great Impersonator,2024-10-31,59,1,0,35,10,30,-2,G Major,4,2l56ErtqE7nB7igr97Y6CF,USSM12405388,1
10,Human Nature (Great Good Fine OK Remix),"Paperwhite,Great Good Fine Ok",158,7B,73,2025-03-14,03:15,18,,Human Nature (Great Good Fine OK Remix),2017-03-14,62,51,0,41,0,20,-6,F Major,4,0qO6GpEDSQaP79CsRkhNAE,TCACY1784757,1
11,Wanderlust,Paperwhite,196,4A,89,2025-03-14,03:28,33,,Escape,2016-05-10,45,0,2,14,0,10,-6,F Minor,4,21PFmyhCNDENa8CfNYaPbY,TCACN1651373,1
13,Red Wine (feat. Empress Of),"MØ,Empress Of",88,10B,80,2025-03-14,03:22,42,,Forever Neverland,2018-10-19,61,4,0,44,20,60,-5,D Major,4,6CBLS6BxGCsbzKdSiKSxHC,GBARL1800847,1
14,Imaginary Friend,MØ,125,4A,69,2025-03-14,03:47,31,,Forever Neverland,2018-10-19,63,2,0,29,0,10,-8,F Minor,4,2iqkOvTG4z3L7IyuHugDKt,GBARL1800848,1
15,Sympathique,"Pomplamoose,John Schroeder",130,7B,34,2025-03-14,02:59,44,,En Français,2020-04-17,62,72,0,52,0,20,-11,F Major,4,6p84lwJmaSzu7U7BL1TWlM,QZGWW1962130,1
16,Hot One,"Leyla Blue,Baby Tate,REI AMI",103,8A,52,2025-03-14,02:56,40,,Hot One,2021-12-03,88,22,0,61,20,10,-9,A Minor,4,7EdeHorFYn5dXW4lKCQNwC,QM24S2107104,1
17,Mediocrity City,r0my,90,6B,33,2025-03-14,02:46,0,,Mediocrity City,2021-01-22,75,70,0,84,0,50,-14,A#/B♭ Major,4,0F10tAUtynxboPKxptlhQa,GBKPL2140146,1
18,Sous le Ciel de Paris,"Pomplamoose,Ross Garren",202,4A,43,2025-03-14,02:59,52,,En Français,2020-04-17,35,74,0,42,0,10,-8,F Minor,3,2NCue3WpFMA2DfQrwCZMwp,QZGWW2011361,1
